ID,Female fetal gonad,Fetal brain,Fetal intestine,Fetal kidney,Fetal liver,Fetal lung,Fetal stomache
Gadd45a,653.967760822,213.616729139,330.439093037,768.786710302,587.198130137,250.321517841,314.577714759
C3ar1,6.98668336166,32.3709281477,57.6608405551,3.19408246393,10.2464685534,62.6720405157,36.023575575
Pnpo,895.275102624,90.5022036484,227.993321642,149.683350364,1308.48301364,442.215959421,448.418101413
Ms4a6c,7.37286551676,49.6875634103,192.685294266,40.4475873377,135.520829956,126.259973981,106.803327876
Anxa2,551.602458062,35.4765441301,186.046834492,294.455313816,57.1603499718,180.465676065,248.765845987
Csf1r,4.99554946244,67.3324856178,85.7544184482,10.0487259666,28.1331031112,51.3291292551,46.3629993963
Ncf4,14.1839888989,2.98716899074,29.2649845427,1.62111361949,75.9266777556,37.5916883985,32.6487170566
Mgst3,380.4312327,134.746228212,122.495284312,60.6087222118,353.355341656,101.060345191,117.818348891
Ly6c2,115.744771725,0.0,47.7618669838,52.9147131081,552.893316219,148.322185579,140.061540552
Gpx1,51464.6245584,11342.8827229,22467.0235519,20399.8173186,108233.209039,32880.958931,35297.6466714
Hebp1,165.69321291,1.31680132532,24.081056354,38.5893689776,358.540940152,37.3912823665,50.6604737
Prss57,9.96751117026,0.0,0.0,0.0,77.9630119946,2.70941521162,7.34183207335
Acta2,78.2608752363,1.83131731106,3276.06779656,157.027005876,0.0,1370.35087725,888.695331474
Hexb,34.3475719738,84.3925756089,44.8826307632,36.6393609809,20.9888165037,24.5083562031,30.5703572683
Sat1,285.026359203,400.179812051,690.011534281,330.105245892,601.936484651,356.395072418,426.885419472
Ccrl2,41.5608639787,8.75277927742,51.4500420404,19.0002637801,73.1423590446,25.4188512141,45.9191184654
Cybb,7.80294933857,2.52817329852,17.8331409997,4.39046460845,15.4928477453,10.2788568562,5.74746722046
Lgals9,51.6479748692,27.7971348262,80.5136688469,27.5470533493,173.372877973,49.137173994,64.4611942752
Hmbs,1837.89620416,249.067045912,366.012599453,438.378709574,4183.73830222,759.152730798,977.054858486
Grn,594.525875651,374.638189951,741.785221506,547.875738012,302.080622062,477.185393672,499.980145195
Lgals7,11069.6643462,502.291483172,32.0928099405,82.9620892604,7.60395824224,116.273127799,66.83321258
Dusp2,99.4893630724,0.0,105.567692212,285.894861767,308.491694531,81.1309831809,157.031791506
Slc4a1,107.014442137,4.58387784713,22.4538877374,3.31684696829,202.165536512,102.05858892,46.7601763506
Pf4,33.2180351189,8199.03916966,6552.11857826,1123.77850971,10464.3285575,4794.65424703,5970.09830057
Gstm2,3953.75705711,39.118587183,569.386239663,539.832199863,0.0,513.922242245,591.24408166
Tex101,3509.12196232,0.0,0.0,0.0,0.0,0.0,0.0
Ltb4r1,99.5623066018,0.0,41.08420254,11.379155213,240.925097785,81.1904667284,55.0014233809
Krt19,84.2670852704,3.38033761809,453.700389818,40.3586305625,0.0,117.801621054,413.794228601
Emb,46.4149937279,10.0773877989,25.6690517881,38.5012023921,76.6323864529,23.4125059452,31.3685384607
Lcp1,3.16054574079,5.59117101002,19.5629007277,2.31183655066,33.0023772055,11.5980421363,11.1743181748
Bmyc,17189.0321625,3620.03553602,4075.84127548,5923.01813958,1316.88489436,2693.60523639,2952.66627297
Anxa3,11.380907335,16.6517018852,36.0874382813,31.7655470274,30.219333326,18.5616667565,13.6773731605
Tmem14c,4221.55053556,548.414805814,1268.79863008,1712.46253499,6853.65593272,2335.88003716,2205.78570409
Tph1,2.26002188965,0.951927889296,0.0,0.0,0.0,0.0,0.832339232557
Igfbp5,100.412400619,10.9651109711,142.720528935,161.518493168,0.0,77.3346020127,120.529672991
Lsp1,21.2880604991,4.67822290631,361.309439656,165.024311639,45.0660499411,100.38526948,214.069908605
Dppa3,5141.09931569,0.0,0.0,0.0,0.0,0.0,0.0
Hemgn,137.285213796,2.72117351447,0.0,1.47675992184,331.616418475,50.0493594661,51.155344069
Tcf21,381.249839832,0.0,2912.70528256,2519.80657881,0.0,1421.2539891,1476.30864997
Limd2,588.720242821,1136.05182813,1870.02933475,1664.93473205,1144.50717413,1356.52211971,988.289781509
Mcemp1,26.9742572685,0.0,66.7852656378,24.6634912902,126.590939727,58.6581438172,72.851524038
Aif1,18.6238176415,277.169045563,578.942999646,51.0851912939,127.461387471,232.870982726,228.631031613
Ctsz,256.624927757,266.778223782,482.163873673,247.121903117,515.691531595,291.643546389,335.818929964
Fst,785.495338399,11.9585405258,156.208773692,12.9796158006,0.0,0.0,108.04755249
Gng13,11913.1075367,0.0,58.1765904706,12.8906082981,0.0,11.4968387871,103.845114359
Clu,528.414654174,67.0758336635,111.513814808,503.003079619,36.8016446669,297.110345251,360.781692831
Cdkn1c,9299.0900672,6511.68694613,11482.977801,18216.5589472,293.21221871,6265.59061207,10719.4502207
Arpc1b,626.999225488,223.835703932,922.909113225,499.878263549,1051.86290738,760.716911382,771.598607041
Ldha,1637.11423486,898.769984099,2750.00286884,3177.02990468,3616.76984386,3409.30618793,2943.28149663
Rgcc,760.584768576,109.190412208,68.624004871,24.5971607214,1418.8832703,241.314097352,291.823300733
Urod,2501.22322111,447.672493724,707.575887227,1088.40890671,2681.02338887,1265.41200373,1106.4488031
Dusp1,41.2594799034,48.8479980558,31.7505335579,27.5290261296,50.0433761846,25.916537206,28.7480098683
Itm2b,605.493170752,698.90092451,808.787790162,929.787101757,522.776744807,594.077111705,677.545246924
Tex12,4777.19861746,0.0,0.0,0.0,0.0,0.0,0.0
Fcrls,4.85693171987,124.790992373,94.1975848661,4.44085974185,0.0,71.2926226796,82.282513539
Prdx2,7754.83511589,11066.6585367,5656.4229813,9490.63175818,11032.9724847,8949.42147512,6791.60503448
Ctsd,545.15181438,344.821171699,337.817722768,236.466542022,621.048117056,286.762088105,308.354347128
Fech,138.462748775,31.2941513316,65.4978225479,40.9138199204,392.758352643,92.9464823039,90.1726471087
Crip1,720.999121062,77.2383013232,663.828431105,906.923484501,821.468758006,570.963048213,933.211176821
Hsd11b1,3.71376411665,1.25139872427,2.45196468201,1.35824891167,9.15011911191,1.21139114688,5.4709409478
Cst7,14.7826097668,0.0,15.2500417693,0.0,151.758247498,27.1233744139,59.8868565714
Hes1,6312.48121338,562.030313813,2626.01126255,7824.6674412,30.106351559,973.034038296,2098.00097708
Gmpr,119.007050854,12.2757847376,23.3847811717,36.2707467467,206.589267922,49.5138515265,63.8053142109
Rflnb,84.4161197508,15.459269023,236.266452225,100.675515733,43.0616519854,137.678292034,164.90928185
S100a10,1051.45639791,155.492702881,674.624599759,1193.44065884,193.358703943,322.54619232,344.751881538
Tpm1,331.496592551,85.1627766037,1174.85430115,512.688290028,165.502418124,689.23756455,425.137259096
Klf1,1780.48273255,0.0,69.6043820826,8.56819267375,7877.59224015,504.357158395,1104.38846947
Gstm1,2237.92789353,111.442975322,591.389100122,730.790876447,543.240923725,296.670306144,1343.89632206
Ftl1,16549.6495204,63810.8543927,30104.6981177,27130.5265751,45122.1154271,27177.0342582,27849.3657416
Phlda2,9770.20043761,0.0,104.379423304,231.281044369,92.7423593035,25.784284381,46.5792729602
Ncf1,6.58600550043,5.54808990446,40.7655456886,12.0436227534,42.4989221553,26.8535793668,21.8299287722
Cnn2,151.739664634,60.3624615016,1819.31632146,870.983879518,343.696065767,1295.83008237,723.386260725
Car8,2.30630651437,0.832648379839,9.24501905087,3.31372702445,0.0,2.41808511445,2.91217820702
Serpinh1,1014.18496668,702.39495475,4009.67502101,3361.01957549,9.40632067402,3033.57482933,1759.78909869
Actr3,60.3638478593,67.5944381224,130.620526833,78.750620416,107.097143086,90.0459969918,75.3694905149
Cst8,916.419796639,0.0,0.0,0.0,0.0,0.0,0.0
Maob,0.874975676397,0.491389782628,2.64775208255,1.3333672644,2.05314259464,3.091919414,4.51140416324
Laptm4b,273.854434614,27.5458617337,127.623158847,166.306814506,2.7974021635,65.5519809895,70.2488916238
Acp5,410.495057691,2.95558512272,28.955560666,19.2476795689,730.657027047,143.054710784,103.371252401
Myl9,1904.87515284,93.6416911699,5587.78738361,1090.29050112,11.8562759706,1046.57166342,1842.24794798
Gdf15,0.0,0.0,0.0,9.40711493292,0.0,8.38999070753,7.57825312358
Ier2,5233.30090416,1986.46737884,2680.18483437,7243.67602308,2256.99850314,1973.56364092,2910.08898031
Lmo2,215.058728432,17.7832384901,14.1554190081,14.4762399805,379.252708246,65.6310560918,117.590586199
Taf7l,621.891202033,0.0,0.0,0.0,0.0,0.0,0.0
Clec4a2,2.5170804318,9.18841478388,24.235600821,3.83575537029,11.3205314659,19.8419305416,10.5061228761
Spns1,170.607037358,114.97630016,193.601869735,183.290462354,162.634788112,163.472572292,160.222993655
Gata2,103.144754154,14.1448429686,1.97965083385,39.4781009573,37.9931756215,9.7804487627,21.2020400889
Mfap2,390.722140761,887.264848742,2668.48611255,2215.98980889,0.0,1417.64468817,1376.41877103
Sfrp2,47.3095277556,26.5692169361,139.909025027,479.428741939,0.0,273.272783876,136.484376666
Gusb,76.3454036004,60.5306527876,200.141726327,125.238792608,229.200926095,126.346483042,147.20131874
Tpsab1,27.1992366935,0.0,44.8948598075,0.0,0.0,11.0901343951,0.0
Mfap4,254.37165106,551.016463283,2519.1838452,1561.61361068,10.6586895937,1785.40936548,1686.27706853
Slpi,0.900014712722,0.758177705924,0.742778828825,1.6458288217,35.9022497079,2.93575418579,6.62929468699
Cd69,42.7469266033,0.0,9.62151303936,0.0,79.7890687351,19.0140026094,5.72479476594
Ms4a7,2.08657104367,33.3970554823,20.6644728026,5.72347103941,3.67212598195,10.2092658967,13.8322682113
Lpl,38.5892575791,31.5227329359,33.7777280972,68.4285781544,37.0432757637,57.2155164208,37.8985745645
Krt18,671.767426424,27.6049192595,831.610775673,951.292052916,124.951530035,527.767045401,1556.83472797
Wnt6,417.784001813,7.90884739116,5.81116177316,21.4603530299,1.37687636402,5.74199944782,0.0
Cd68,178.65176126,519.899757059,737.203204129,252.446060086,466.846211134,410.569230997,322.99522123
Itm2c,335.05793992,254.582748261,321.705431331,546.633431203,59.0948257364,325.019905389,269.378338611
Ccl9,5.51310166628,41.7984244402,177.447757796,45.3673664551,171.409549072,238.27690993,138.067872928
Cd34,4.21048688765,2.36462600309,42.857091695,17.9657006439,82.3330503768,19.4567399481,36.1823545244
Aldh1a1,42.0316082871,0.352315173069,28.1305007272,2.10318605979,0.0,1.36420622233,1.07819101031
Mgp,120.923841623,7.83591983703,752.323394313,2185.7815992,0.0,8086.03983733,486.457213785
Trem3,8.54692688508,0.0,2.35124909701,2.60491641703,40.1109656288,9.29306155549,2.09848780575
Alad,1260.95661311,140.808199319,336.400316737,353.924541432,2692.21147782,540.443397702,617.753816298
Kcne3,0.0,0.0,68.3992074194,3.44447898596,0.0,12.2882081873,27.7482882058
Tpm4,120.776026333,205.79720294,756.631529481,759.204018175,52.3328712148,559.600581825,312.373554762
Tgfbi,49.3217050735,5.30411431312,285.801215555,215.887650957,11.6965280445,177.997395399,142.997902815
1810011H11Rik,0.98444554768,2.48790821882,9.74951143281,0.900112427534,1.73251137766,4.01394846166,5.80095373697
Rnase4,14.6379706331,75.7482646826,174.306712909,105.160000564,15.9473793557,83.5581853974,251.06614355
Ctsa,177.708346211,328.694750624,519.693764109,370.889340223,419.261383866,292.983410796,318.702692146
Msrb1,523.943191044,272.612634291,529.91223844,587.082453855,554.453326691,473.339296505,537.266904845
Adpgk,54.3264889478,13.8929327457,20.816459539,35.4804125613,26.1784895053,24.5242307236,15.005850715
Ifitm3,11279.4431215,1030.86319584,17805.4340005,7005.18079704,5399.59320676,9306.56002149,14558.8922405
Id2,2575.11337058,1827.60755098,3612.1152196,7080.79339522,675.082234083,2938.37457919,2584.60608506
Maged2,1280.56025153,759.121435646,1862.52033457,2157.418492,41.7340616866,2475.29130058,1129.54736928
Cst3,5183.86217806,4112.79233984,4573.04627006,4275.24117124,2132.89209566,3903.62118139,3607.80573938
Ly6e,1331.08190365,858.7603245,2497.16214345,1626.69652777,2270.18013621,1477.28813518,1965.66930413
Cpox,396.586156179,13.1530125447,38.6576095965,45.683447496,1421.53871436,104.406556973,151.808287238
Sparcl1,13.6573586898,20.7090712199,102.193735123,14.9848714086,0.0,197.500037155,89.1958838603
Lockd,97.8473569203,136.10071067,138.031399105,181.010994582,126.146612702,142.883295026,120.678764578
Rgs2,862.594698025,825.744164418,846.725059613,364.475001953,333.514904794,495.593829207,529.472311934
Ucp2,1531.90836807,140.669378981,629.143247843,730.210505986,1763.24968869,600.933567499,847.612427441
Mmp2,28.954227626,10.1630051005,238.95817459,114.720000615,0.0,418.118863351,127.961979723
Cald1,17.8127382145,9.0033334821,62.1843301407,22.8015189894,1.14944054435,35.1524937547,18.3686160673
Tmem98,175.442989429,94.0508607608,289.584906494,281.938984562,10.9157420622,201.597489847,160.554932186
Icam4,3453.96946355,0.0,170.181986973,0.0,7605.79861153,966.90012288,1518.87277649
Cryab,124.623912252,19.9969369937,127.340145467,65.1131027586,0.0,140.342811429,161.734073817
Tm4sf5,132.78818588,0.0,96.4388488097,4.8565122417,3.11589325107,21.6570611018,195.617249963
Fos,2720.14872214,447.307370768,1845.14689776,1720.5457539,721.351386157,706.484820358,1193.92421906
Cd14,0.0,61.3300977545,45.0633451359,16.6416860014,42.7086061088,29.6846784387,80.4379938937
Tsc22d1,238.115022303,216.613768354,196.515451238,393.194597226,43.4398595446,129.912729773,111.338791756
H2-K1,2071.4181403,90.4801782885,284.922294142,70.1469947785,607.576434678,181.431251961,214.736229663
Dhrs11,290.48945197,29.3652034585,54.3410383823,31.8725397949,624.834411157,110.547070092,131.233481785
Nnat,1173.28273817,73129.2811298,14407.5408932,8511.44986157,0.0,6318.96353712,5755.08349604
Hacd4,16.209562632,9.9309318042,43.7815386376,25.599841203,7.34785671537,17.4243546642,27.6781149025
Ppox,497.394854124,189.064748148,260.315894831,327.223515319,733.023330324,272.057193387,290.414641542
Mpeg1,6.99753947343,100.211065387,103.950784162,12.7961820886,98.518942216,125.538844309,51.5422143633
Clic1,1672.37528948,976.498877714,3026.97356855,2480.70247231,2092.65363006,2031.03489075,2228.39982492
Gypc,84.4931984632,11.7233643171,61.5281696586,44.5352570734,161.527226226,75.3868959762,68.8253445477
Il13,27.9880870031,0.0,0.0,0.0,0.0,15.215703775,68.7178679214
Ptpn18,17.7666252082,69.8446463625,175.952764476,59.5636674243,99.5919014516,172.248836714,103.237741719
Clec12a,1.39406161623,0.0,12.6556531129,0.0,39.2542196686,10.2313883054,9.24149419077
Rab32,26.1431746536,26.0273763766,92.187790195,43.461097941,121.296434011,85.2763108585,64.7716676805
Pgd,334.381558212,134.512499127,195.345210569,228.443610068,285.420538066,196.084097227,160.508494023
Rgs1,9.07554781281,15.2905900836,67.4101457682,4.1490427745,18.6339117771,18.5021818971,40.1089982507
Neat1,47.048354685,11.5065904843,18.7881454372,11.1014010513,13.3547925799,17.3269000717,27.9473395246
Lta4h,108.202220099,48.1070441023,147.177806579,164.888353021,146.343994433,95.5890986417,93.7203394716
Psap,193.150416289,205.249887439,306.310197829,155.827120294,206.619621889,158.538602991,139.480402691
Fstl1,59.7264081024,43.1897896748,215.488853521,317.510712275,0.310063821554,238.785420785,118.742314293
Smc1b,335.031801228,0.0,0.38671400289,0.0,0.824639980608,0.0,1.03542574933
Rhox5,6554.78685503,0.0,96.7158782842,35.716728816,0.0,140.161708454,28.7729461842
Ccnd3,91.2664997181,18.2387717934,125.078347889,91.9756431848,156.710588529,90.7229966961,107.216094804
Sfrp1,16.5345337535,32.0362142895,235.391599595,31.7479952398,0.0,38.4279220867,92.5599819239
Vasp,165.146443386,74.910951559,232.400025346,199.396213037,278.218357425,151.938342028,173.107273849
Ccl12,20.2595856863,546.137425762,685.526620563,0.0,23.7696998009,528.677255072,387.990974831
Rasgrp2,75.4493155166,25.0890586959,67.1839403915,98.0326011427,143.26495262,38.8591268293,68.7364789205
Glrx5,2060.66889509,719.834940284,952.16730117,1108.48383019,5295.03964952,1270.37874759,1617.81725319
