ID,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50
Elane,5960.92007525,4384.23389702,3056.40968434,4831.5683074,3929.75188219,3990.25025155,2680.62675263,3590.14560023,5193.37318059,250.054797587,687.865904393,720.508452606,575.718081866,3289.33612214,6753.25465598,3278.4236711,342.255704334,3738.71448542,5473.58169536,2682.99488991,95.2915732767,1893.86029963,331.574027772,3145.81046884,3183.04893101,4028.04388878,3437.04509178,4182.67767624,2297.18591226,7352.81989802,6415.1836997,1556.84538345,966.748808333,288.053286572,2437.24829529,3181.30589815,3737.42068217,4380.06826974,4070.33311108,4584.31788308,4640.12842638,4026.02494417,6167.81693955,2372.57868129,285.843157527,1002.31183474,2446.69231984,847.535489007,3177.08689133,2366.72502802
Stfa3,57.7596951263,27.513532516,27.746822067,33.8158705643,36.4538586525,21.1995368345,36.4323190098,22.0855073728,21.6790585993,14.61349568,45.9425032055,14.6460379518,7.91662117866,32.5818069998,26.9858545996,58.3908342431,21.8201725309,39.4276439026,41.7238088702,45.7325658015,29.7010736922,21.773000138,46.5061802695,57.6768168684,29.4686911964,40.9397582035,74.2693920735,75.2124891051,29.8333865028,76.1105392546,52.6190681101,21.4079694954,42.3734507511,59.8548335917,61.7793177329,49.5784662113,14.0915644246,13.6520707952,76.3978235236,60.2804057388,34.9902642593,62.7428320478,34.4932494417,43.217542167,29.6977945135,22.6746887661,47.0096117555,30.4805957653,47.6957354897,14.5593880796
Stfa2l1,47.2982609419,33.7954235439,113.606592587,33.2293693676,23.881069526,23.1465031767,0.0,36.1707619291,0.0,23.9333995941,137.945127665,0.0,12.9655259941,21.3444729037,33.1472661811,119.537720404,23.8241380812,107.621700885,45.5557252076,21.3997056607,36.4824242236,0.0,165.026256832,70.8455903873,120.656613818,11.1749168238,132.693211836,61.5900054183,48.8599289351,31.1627003763,32.3165280982,46.7481566038,23.1325151129,122.534819984,56.2109440301,34.798985103,23.0786014288,22.358816315,22.7493280377,21.9388535675,11.4611314741,38.5341391944,22.5966665407,35.3899822742,48.6378617902,12.3785665615,25.6634882245,12.4799756043,33.4775017385,23.8447843271
Apoe,5607.50060965,4815.51136378,3775.04748148,4864.3229514,4386.44073472,2976.06164595,4742.52744666,4690.92113248,5335.79349103,5914.68901579,5716.6569983,3905.17818916,4806.27839017,4579.88285795,6199.14145344,4970.15719199,3998.05778774,6038.16444713,6294.72519154,5449.33430114,5584.19963636,4783.32783758,4027.44024448,4751.64978345,4331.67037164,4553.02393598,4966.90150703,4977.61625218,6751.28810097,3937.36334892,3723.39914826,6830.27754015,6276.85400946,4849.23991121,5087.28388797,3505.8207413,4720.75414795,5898.90908594,3513.79251756,7070.28704941,5645.66777776,4547.0117435,5678.67069183,4707.85197423,5177.50433545,5808.21232435,5720.87896488,4834.67771806,4304.36978603,4578.85664491
Srgn,202.597899065,156.82300246,132.083588541,130.473797482,186.318372622,122.1620236,111.359854869,129.111871284,186.482635711,34.7824148269,122.779366271,45.8682507168,49.5863203753,122.44708068,280.586183755,124.349950119,67.4249540381,100.429527549,181.195766183,104.758557923,72.5535679575,81.8260418941,50.4910936607,126.441997062,94.1354151172,140.18123598,147.169714044,201.630277948,93.4317701722,190.68951252,168.087472451,125.150985001,125.626986094,84.3536276006,75.6720125313,118.891788233,100.620409403,141.947790856,163.567932497,112.432138093,220.917323406,137.547968424,165.92710934,97.4506148027,26.0419950372,130.662565215,76.556493019,63.0027359405,146.812140595,124.023518754
Ltf,5.17629816624,9.86281160922,0.0,2.42440377719,10.454129512,5.06628360378,7.83596432785,5.27801360745,5.18088012886,10.4770374186,10.9793790555,0.0,0.0,7.00778551372,7.25524066773,5.23285948025,2.60730182899,0.0,17.4495857258,2.34197315004,2.66174558145,2.60166517942,0.0,5.16887079715,10.5636798718,7.33786405388,0.0,16.1769109861,2.67360316757,13.6417217547,16.5046222648,5.11609502092,2.53161095513,0.0,7.38203732766,7.61676726325,0.0,0.0,17.4277260647,16.8068406027,15.0516063764,22.4915042064,17.3107756763,10.3281655154,0.0,2.70940834258,0.0,0.0,4.88501486548,5.21912268775
Mpo,1094.6809846,1406.56617263,722.730052254,1030.68201314,1349.17571569,653.837968925,662.858349363,1173.43231679,1264.21151054,147.711913917,190.515993477,193.591878552,153.885581528,825.86835297,1736.2898883,612.909716348,130.071700798,761.296619038,1162.48996976,985.478866673,11.5467619177,699.740100931,60.2667091926,874.488198598,630.103075191,1130.03445111,1422.67117509,1245.62587917,753.883039942,1775.35051825,1304.10152689,560.394228532,192.189069643,110.530185585,693.844273407,1101.39499914,706.703077732,971.264875492,1274.4369707,885.320735833,1365.74304366,1109.84818529,1137.15070045,616.055099295,46.1819483407,229.193736287,469.077062461,183.67210842,916.527859914,469.795958687
Prtn3,692.097960869,772.577083237,503.746441266,687.602325902,741.242427869,348.957682362,366.874583216,534.619578691,671.719362986,141.498418338,185.35353896,198.53892256,99.650776232,511.07854671,894.940622517,346.296612321,154.937689811,470.845869253,572.333401917,556.682629426,28.7587244176,428.671218528,97.5663914115,663.181453412,463.672867185,759.782582003,640.679354624,706.413785332,404.415749303,1074.72925647,738.768933788,331.659872739,239.336037642,123.156016163,471.906997251,644.644631803,422.978579331,594.851437392,665.765008375,551.25184109,691.154053968,516.393198285,788.212979091,460.309798183,57.5110985601,190.279016377,295.867655915,228.729733362,560.786959133,401.77735201
Hbb-bt,65520.3012917,53138.0686354,53033.3081799,41380.7539995,65037.2475534,63319.6008039,49957.4254175,83520.2619473,57396.5071279,58578.2222354,51403.8390001,58164.2937477,34042.524468,62675.1248507,48569.7612518,45033.9655957,75737.4929593,82517.4815483,63185.9686941,47819.1168883,63774.3652157,79972.8897428,59081.7871345,44277.1473006,30963.6571064,68280.4108237,41079.2840313,61330.0813791,50709.3999756,54039.8176902,43929.8845627,50353.9374501,58637.2038789,40686.8259877,69515.7501147,57470.039594,68734.1071403,57417.6300358,62034.5140466,47415.2839732,29492.3079356,62068.9322882,35976.8385232,65406.8698782,45766.4283767,42485.1984878,65187.2201327,75034.4426515,69430.97496,59443.6389797
Hba-a1,8000.87921069,7340.82369117,6432.6593793,6705.55322322,7513.70447292,8353.17563811,6409.80518056,9048.56329044,7058.83701335,7731.03311439,7175.53503896,7640.88303803,5174.74754867,8522.89927082,6111.99319033,7232.2106801,9064.26552036,11067.5595438,7434.23476573,6980.44104246,7139.74024873,8450.55908979,7713.40314516,6218.87059234,4995.61960402,8599.21439473,6273.52920214,7650.14603201,6583.78949035,8783.76279219,6573.58057632,8099.63518222,7269.55813043,6344.015462,8143.57967733,7152.09750449,9297.12118656,7710.29461771,8545.02412654,6100.66007148,4257.96495319,7771.24331101,5512.35748741,7414.36983461,6644.57728585,5425.29643132,7811.26001378,8369.86924355,8532.98332982,8858.65904344
Tpsb2,21.7658335741,41.4721697176,41.8238157249,20.3887671985,0.0,106.516164851,175.730521414,44.3870743501,21.7851002842,0.0,0.0,22.0765171202,23.8660344266,78.5788290221,142.368734167,0.0,65.7807133957,79.2410032431,83.8557962572,39.3910831114,201.462893109,131.27700799,23.366831091,130.407613229,66.6288795491,0.0,0.0,0.0,0.0,0.0,0.0,21.5126851658,106.451794225,45.110707171,0.0,64.0555405815,63.7222157203,123.46964099,83.7507473859,20.1917544555,84.3874003883,0.0,20.7971825374,21.7144689616,22.382294487,22.7856005102,0.0,0.0,0.0,0.0
Fcnb,178.695754014,102.144959618,61.8066331816,234.346208785,209.320044463,153.910099226,100.991347491,109.324299836,300.474606035,14.4674981326,15.1611700556,21.7495729316,31.3501176248,109.671403999,273.841560443,158.970556098,14.4014506525,71.5618533637,165.227852428,194.038586412,7.35108555797,50.2961080214,46.0415557605,149.889051454,80.229273784,236.429349185,160.423410549,186.152678577,81.2221661862,263.725523331,240.931846432,49.4528792282,48.9418004571,7.40710600821,142.71157941,189.320712678,111.606250257,128.398945337,220.027821529,205.55813592,76.2095193798,124.231987386,157.083749908,49.9167353022,14.7005479071,44.8963101732,116.349894163,22.6320573106,101.184057029,122.518414345
C1qb,853.138771335,487.665897981,347.153546862,564.115024452,385.143830809,363.473447434,648.280015621,573.112658947,703.206785538,629.769549015,808.989424603,600.631381615,440.215878448,570.704845772,731.537570426,629.089202084,677.450513629,922.649598498,725.036396505,717.497624264,1021.91129837,847.504777117,603.411100814,410.923522194,594.01128837,682.955438221,732.112184368,731.90354351,933.148840824,520.213253787,393.176424734,912.657649201,913.04331127,613.658989463,772.950113777,462.763133525,636.661253065,749.655057959,540.68232955,819.373997604,797.73182572,588.753821057,748.03954196,550.728246465,794.732145792,777.530882835,697.077774887,730.934395572,700.93714951,333.958817561
Prss34,102.957797414,523.129761584,197.837033525,64.2959543483,0.0,100.769581691,69.2707501172,734.86659154,171.748222895,104.195378763,109.191225875,34.8091359108,112.892268941,92.9243432369,64.1370917869,104.082815356,34.5732342414,62.4716035726,198.329369139,124.219736132,176.475835009,34.4984913775,36.8436377361,102.810065283,140.076064304,32.4337456121,32.0937353496,71.5027986154,35.4524004675,512.525593793,500.23748385,474.881598728,100.708683882,71.1282820744,65.2579876178,168.332562439,100.473967676,64.8935622507,297.121373274,63.6746748857,665.288929698,186.400562337,459.08724161,68.476553362,70.5825404027,35.9271827458,521.394604724,0.0,194.328207044,0.0
Tyrobp,2018.64737422,1711.14432404,1618.75438583,1950.48986863,1797.68402301,1135.66387953,1235.17749987,1993.4854607,2084.06996743,1045.58492124,1803.71956706,1176.88724121,993.428361398,1707.1589484,2510.06359164,2410.28161018,1457.13621743,1808.34555558,2143.29804391,1639.66155623,2043.3558523,1661.69837401,1416.31334649,1507.84512892,1946.27380513,1757.52584299,2125.56825997,1788.28013432,2183.81597819,1466.13744936,1462.50168191,2859.21916056,2269.95513368,1976.57055676,1964.56220957,1247.40324366,1628.69719689,1743.20458805,1666.62017207,2049.60557001,2357.16771385,1398.5596191,2384.43557174,1506.44837859,1520.08890855,1880.27061273,1983.60452077,1761.46733559,1590.04424924,1859.05804915
Stfa2,0.0,12.9728215619,13.0828192046,12.7555341587,27.5011958289,13.3276383607,13.7424730416,0.0,0.0,0.0,28.8829455516,0.0,0.0,0.0,0.0,13.765841828,0.0,12.393605187,78.6922620049,12.3218412688,28.0085248219,27.3763218634,0.0,27.1950195075,0.0,0.0,12.7340123241,14.1852842752,0.0,59.8110792788,62.0256396512,13.458674956,13.319584105,42.3329542664,25.8927796817,13.3580519768,0.0,38.6222768613,78.5936816601,75.7936792862,79.1911318915,103.542882903,78.0662713965,95.094398556,28.0054325109,0.0,29.5538110029,14.3718124794,25.7015661205,0.0
Wfdc21,21.3269293376,40.6358906509,51.2255572222,29.9664468977,10.7680466923,20.8736569942,21.5233682637,54.3650209251,10.6729037689,0.0,45.2362738325,21.6313480042,0.0,9.62428758056,49.8206762434,32.339952448,10.7423761311,29.1161708392,30.8118220335,9.64919219824,10.966690501,32.157457507,57.2391075472,31.9444916151,43.5235465451,50.3880389485,29.9158858704,44.4337924413,33.0466352595,56.2054245258,87.4297233084,42.1577712455,41.7220849467,33.1507932235,60.8296444285,31.3819358907,20.812422786,20.1633162034,71.8041871547,59.3537737493,93.0214610803,81.0840811934,61.13343294,42.553200967,0.0,0.0,0.0,11.2545177157,10.0634047251,10.751685586
Anxa1,20.8301897606,46.3043155413,43.3614384529,29.2684786192,42.0689640596,33.9791248039,21.0220532981,42.4790154938,38.2224851363,31.620861649,33.136984458,28.1700240151,11.4200548361,50.1339837387,71.3683960216,42.1156017152,10.4921683637,22.118449812,43.4693473719,31.4148216627,35.7041935989,45.3677711578,29.8164873293,79.734486892,24.7973897018,59.0573014811,25.9725291041,65.0982835142,35.8632492027,64.0456913997,50.6034607172,41.1758467911,37.3544493201,39.5739131756,62.7135333423,64.7076635518,30.4915003806,39.3873582148,60.1129272639,38.6475505728,63.9348852117,67.8818557551,66.3439264822,31.1715497236,10.7100754918,25.4404735274,45.2088782116,36.6412710697,72.079416409,24.5029423006
C1qa,926.84603958,682.315593088,323.812237299,591.959288735,446.696770352,164.935872308,659.0198901,665.83686487,611.416534681,1001.94064484,781.900453614,470.037878194,646.722412629,722.451631013,472.397339715,574.961115102,763.940339013,594.334971848,933.276962085,953.054089133,974.865471675,719.939421029,678.423201265,504.826977987,644.825387808,477.777046551,669.755236351,1163.01642445,1044.48887224,647.666768415,364.608495113,1165.90258808,1030.2262316,523.890471087,680.925396258,495.936765874,678.364592293,537.715204767,830.791748878,859.817639675,1122.94871992,755.106289105,603.817055866,609.434209242,823.128843186,1014.3735781,708.626068254,955.986880815,675.896883616,530.973873373
Fcer1g,1522.24628301,1136.01217834,1230.95847462,1283.34402997,896.685840639,1067.75678578,1011.37607086,1306.4002982,1498.20051791,1245.27315278,1291.52675678,1222.31329563,1029.29616477,1488.39185844,1635.77679153,1731.23981988,1124.57485496,1293.11267537,1331.76613094,1228.23106224,1656.85556169,1568.45081074,1320.9912033,1355.38865372,1592.11611762,1294.7518774,1506.57125115,1598.98394417,1441.46472656,936.077076552,1109.41279272,1792.9122354,1637.89208696,1275.11614894,1471.39474292,1007.97285573,1027.48639063,1475.17117792,1000.62402128,1353.31927912,1413.98183243,895.686974134,1612.07230398,1075.71323189,965.305314761,1460.76897389,1335.29099229,1111.24628832,1328.8417362,1061.59775145
Ctss,106.770019188,89.9819221552,67.072307357,92.321505386,72.5692470799,50.2407597736,89.1038232819,87.9319062874,127.415401176,118.443176859,115.411834799,49.9818668382,40.5250389419,81.5396627445,111.279521667,143.223689063,105.491671445,97.1771125598,92.9483376063,83.6086312308,160.48587786,115.583574055,70.5375661486,73.8116425205,100.566460644,73.7375479283,120.967527838,104.808646738,125.142736311,61.327257222,84.1737646073,125.822115805,154.648025565,95.7486868224,72.2292980649,44.3127599035,106.197955616,147.534367875,84.931311132,177.144502034,141.301456586,49.069076387,100.056510517,108.566479599,122.462542583,133.267067499,160.427561543,125.690520727,79.4468054234,55.8969308603
Serpinb1a,294.238455715,197.496729048,295.544539929,263.094463735,317.382670271,261.804411344,155.223152176,354.569455585,381.509951732,60.9085807681,163.118451791,81.392287883,65.9924457545,162.959910484,437.40734909,202.809268541,47.1570703245,206.938045527,328.484380687,338.865539253,130.670517112,275.608576595,50.2538467648,173.618698325,211.531184417,170.635597654,387.722249885,292.584356947,248.689194042,399.470135122,347.248095027,138.798690281,143.905407684,103.947093553,178.020690216,177.121247357,234.932752218,309.79647147,353.804083758,223.330484952,298.158297985,290.566788178,281.143878647,200.143697862,103.149544969,133.010379227,188.677717089,84.694762964,277.680918679,148.336373844
Ccl3,1488.16689367,957.946777372,425.070486934,715.845301256,1015.3797997,472.390737452,487.094322253,943.254686471,1086.92089632,854.788014669,810.460800871,326.358671079,441.016535634,1415.74416059,789.242546155,528.582833894,1053.47754495,951.782976123,736.039814833,582.321091075,1613.21322828,889.476976097,474.971022984,843.423313338,738.734481985,418.120747005,827.474986025,879.881660739,415.487127172,494.659777887,586.257156999,1232.34108,1573.6841961,750.234022832,803.035792074,276.190093186,274.752886918,760.525081404,657.736937721,1156.672368,818.674988489,699.051421083,576.461587395,1003.14527577,703.117872715,884.207886467,1483.9844173,1485.75265122,683.23329937,486.641769024
Tmsb4x,65765.285007,62158.7230377,62659.4887239,57196.8480042,54724.9425716,56120.7846146,64438.4375463,52357.3595869,71381.8063408,67414.0507115,61710.3815768,57908.184119,60292.4954465,62640.1757654,58870.4642525,68115.5774961,59059.0469705,64686.8584383,60364.9887601,62752.7596829,71349.140401,59371.3604995,71894.9145368,61190.873583,68222.777424,56309.1843254,71017.2716751,58250.3033053,61408.6609692,57773.0577834,54703.4891738,68163.8961641,62187.9218677,59929.6252085,70667.1497025,55873.1440337,54861.5885942,64711.7551856,62394.627037,74764.2081425,66925.8516906,47368.5167395,70157.4756534,65473.6270097,74098.1414839,68101.906203,70031.0588699,62654.249454,55816.7490022,65371.5542357
S100a6,247.560353476,230.72105746,361.942561039,241.980384648,320.63717229,310.774578958,287.859812744,345.712460233,339.350170108,266.875408474,462.313717766,158.298396123,318.655912402,242.864212708,301.72812384,320.992630674,417.461094941,313.485823804,279.90767956,443.156656876,376.365171952,389.509338399,329.32343238,333.189528384,378.911951999,178.01246928,276.801367007,274.709955671,316.887987329,184.381149067,279.457891697,351.064176577,368.492777247,474.041674604,322.351358659,232.29297749,278.351420304,396.872946905,201.90229955,254.619810565,266.033146702,362.455068684,262.254312255,279.190421814,282.242714216,354.935130355,309.527785697,335.122686499,223.471705705,233.329655272
Cxcl2,117.628121869,0.0,28.2533223248,27.5465258958,0.0,86.3460825711,118.711575636,29.9848853323,88.2991830666,0.0,124.749743553,0.0,0.0,0.0,27.4784638894,29.7283605434,29.6246475222,0.0,28.3236333103,26.6099338039,60.4864950941,29.5606028631,31.5700803039,58.7296697875,120.026492237,27.7913913079,82.5001436744,30.6341777433,30.3779756423,0.0,53.5795951029,29.0650108092,28.7646337586,30.4737223974,55.9173859084,57.6954159847,28.6975936045,27.802561003,28.2881513777,81.8410473144,142.515955443,31.9440808957,0.0,0.0,0.0,61.5696013787,31.9118278382,62.0739985811,111.008891967,0.0
Ccl4,492.301696716,248.299804695,83.4683865253,27.1267693107,321.672320546,198.40410973,116.902637341,147.639863969,86.9536717056,175.842105875,245.697590159,29.3722803971,127.012762263,182.957706906,135.298722198,146.376784771,262.559018896,263.570670311,83.6761052652,104.817796393,327.606378667,203.77108907,0.0,173.504224458,177.296275676,82.103710321,81.2429986279,241.338969803,239.320585251,101.75858288,26.381572065,457.953846502,283.263155299,60.0187218266,330.391868739,56.8162477412,141.3014847,246.410126375,194.99965683,322.375782564,84.2065702446,62.9146278974,166.02093717,173.343503653,178.674659419,181.894193787,377.106628396,366.768654474,191.305323824,116.794024566
C1qc,894.868017257,603.876492105,483.61511506,838.252098873,470.648147502,437.924460471,865.480898766,703.34870818,615.766344696,830.155864645,632.697657061,794.186122326,654.14298161,942.271451879,609.715271708,565.403889672,882.709147935,1001.11606534,915.768534018,742.271948709,1150.39305813,805.839070815,700.503498588,688.804324565,1027.25309941,810.465810036,941.442473371,1107.0001029,1059.2246933,835.250170632,424.596116925,847.607709458,1094.1495269,579.579931802,903.96916876,530.366261103,618.573023152,987.050577753,681.482552993,812.857391658,1138.41500545,627.796179663,730.349616305,688.166269869,996.897241396,839.211409105,890.165861022,826.410058363,844.511546002,469.933038757
Pglyrp1,38.1496611466,42.4022528797,30.544132243,50.6260475923,41.7341321407,34.2272759741,16.0421048157,29.174483026,47.7292881441,16.0867627832,13.4864587624,19.3471029852,20.9153746211,28.6932469402,50.5009606615,41.7803986015,6.40532919398,31.828545581,33.6821585311,23.0139968034,6.53908055071,15.9787042503,17.0649082724,28.5711907074,9.73187774898,15.0223736799,32.7027596547,76.1714689834,16.4205273742,44.6846200109,37.6505262885,12.5686533229,6.21938027212,23.0611953278,24.1804912037,31.1867113431,43.4341957258,57.1079631412,24.4654282185,35.390723163,27.7328345727,44.8943839615,45.5648450072,15.8581803227,13.0767171931,19.9685193661,31.0493460047,40.2642152959,21.0016822641,32.0544005944
Ctsg,925.524609966,1139.80731925,737.397030179,909.260307632,1550.07111338,530.255972552,296.16202667,667.503171175,926.343867094,114.225569889,215.464200724,251.855856412,247.51930285,570.469464742,1392.16057139,638.972156237,45.4816414817,760.187122612,674.005747682,776.211966611,0.0,703.441398793,24.2341967589,743.865550293,483.714783304,874.675755833,886.616243378,1505.00916581,699.572980271,1348.47119852,1357.27018864,334.668387268,353.290349593,46.7851951877,579.473489158,775.054604487,748.992279704,768.316652394,781.735818027,691.061671977,1400.31712953,735.638744903,970.612383232,788.217490629,92.8524584956,307.208085276,269.461863275,571.799684035,703.015109819,637.294788834
Il1b,0.0,8.81835937526,0.0,8.67065685732,0.0,27.1786451685,28.0246048419,18.8763296399,27.7934110475,0.0,29.4500536149,9.38840012694,10.149421642,8.35423319208,51.8954002951,18.714840062,9.32477489739,8.42463329761,26.7457870711,8.37585130998,9.51948796457,0.0,0.0,9.24299521466,28.3350212268,8.74773169326,43.2801362554,9.64253874783,9.56189552943,0.0,0.0,0.0,45.2703672852,28.7760995059,26.4011767257,0.0,27.0989148741,35.0049900482,8.90409391918,25.7606218944,8.97178069577,0.0,17.6886843256,9.23443322355,9.51843695537,19.3798988815,50.223485517,19.5386650024,61.1478204002,9.3328558443
